"Caller,Called,StartTime,Duration,ServiceType,Status"
"01012345678,01198765432,2026-04-13T10:15:30,120,VOICE,NEW"
"01234567890,01011112222,2026-04-13T10:20:10,60,SMS,NEW"
"01122223333,01544445555,2026-04-13T10:25:45,300,DATA,NEW"
"01099998888,01277776666,2026-04-13T10:30:00,180,VOICE,NEW"
"01512312312,01045645645,2026-04-13T10:35:20,45,SMS,NEW"
"01155556666,01288889999,2026-04-13T10:40:10,600,DATA,NEW"
"01022223333,01144445555,2026-04-13T10:45:55,240,VOICE,NEW"
"01299998888,01566667777,2026-04-13T10:50:30,30,SMS,NEW"
"01177778888,01033334444,2026-04-13T10:55:15,900,DATA,NEW"
"01055556666,01122224444,2026-04-13T11:00:00,150,VOICE,NEW"
"01212121212,01034343434,2026-04-13T11:05:25,75,SMS,NEW"
"01198989898,01556565656,2026-04-13T11:10:10,1024,DATA,NEW"
